Sequentiel,256,512,0.000385,1.05472,273.953
Sequentiel,1024,2048,0.00131,16.8018,1282.58
Sequentiel,1024,2048,0.001357,16.8018,12.3816
Sequentiel,4096,8192,0.016647,268.534,16.1311
Sequentiel,16384,32768,0.197794,4295.36,21.7163
Basic,4096,8192,0.000269,134.267,499.133
Basic,1024,1024,0.002357,4.2025,1.78299
Basic,4096,8192,0.01671,268.534,16.0702
Basic,4096,8192,0.016717,268.534,16.0635
Basic,4096,8192,0.000227,134.267,591.484
Basic,1024,1024,0.002291,4.2025,1.83435
Basic,256,512,0.000292,0.52736,1.80603
Basic,1024,512,0.000796,2.1033,2.64233
Basic,4096,1024,0.008513,16.7977,1.97318
Basic,65536,131072,0.00027,0.786432,2.91271
Basic,16384,8192,0.000213,536.969,2520.98
Basic,16384,2048,0.000165,134.291,813.888
Basic,16384,1024,0.033278,67.1785,2.01871
Partial_sum,16384,1024,0.002043,67.1785,32.8823
Partial_sum,524288,1024,0.047883,2149.58,44.8924
Partial_sum,1048576,1024,0.095972,4299.17,44.796
Partial_sum,1024,1024,0.000372,4.2025,11.297
Partial_sum,1024,1024,0.000355,4.2025,11.838
Partial_sum,1024,1024,0.000284,4.2025,14.7975
Partial_sum,1024,1024,0.000267,4.2025,15.7397
Partial_sum,1024,1024,0.000267,4.2025,15.7397
Partial_sum,1024,1024,0.000288,4.2025,14.592
Partial_sum,1024,1024,0.000291,4.2025,14.4416
